Borough,Date,Rent,Year
Manhattan,2020-03,3390.86,2020
New York City,2020-03,2841.0,2020
Queens,2020-03,1974.61,2020
Staten Island,2020-03,1699.0,2020
Bronx,2020-04,1792.5,2020
Brooklyn,2020-04,2426.75,2020
Manhattan,2020-04,3292.62,2020
New York City,2020-04,2900.0,2020
Queens,2020-04,1953.77,2020
Staten Island,2020-04,,2020
Bronx,2020-05,1735.5,2020
Brooklyn,2020-05,2373.32,2020
Manhattan,2020-05,3161.06,2020
New York City,2020-05,2782.0,2020
Queens,2020-05,1927.16,2020
Staten Island,2020-05,1575.0,2020
Bronx,2020-06,1720.6,2020
Brooklyn,2020-06,2307.05,2020
Manhattan,2020-06,3069.11,2020
New York City,2020-06,2700.0,2020
Queens,2020-06,1903.92,2020
Staten Island,2020-06,,2020
Bronx,2020-07,1745.2,2020
Brooklyn,2020-07,2247.14,2020
Manhattan,2020-07,2979.97,2020
New York City,2020-07,2650.0,2020
Queens,2020-07,1871.89,2020
Staten Island,2020-07,1450.0,2020
Bronx,2020-08,1740.5,2020
Brooklyn,2020-08,2207.39,2020
Manhattan,2020-08,2905.64,2020
New York City,2020-08,2500.0,2020
Queens,2020-08,1863.56,2020
Staten Island,2020-08,1637.0,2020
